번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
12,개방화장실,,물야두문보건진료소,경상북도 봉화군 물야면 두문로 685,경상북도 봉화군 물야면 두문리 701-1,0,1,0,0,0,0,1,0,0,봉화군보건소,054-679-5223,,8,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
13,개방화장실,,물야파출소,경상북도 봉화군 물야면 문수로 981,경상북도 봉화군 물야면 오록리 394-8,1,1,0,0,0,0,1,0,0,물야파출소,054-679-0304,,8,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
14,개방화장실,,물야초등학교,경상북도 봉화군 물야면 오록길 25,경상북도 봉화군 물야면 오록리 1211,6,12,0,0,0,0,12,0,0,물야초등학교,054-674-2011,,8,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
15,간이화장실,,워낭소리 간이화장실,,경상북도 봉화군 상운면 하눌리 722-3,1,1,0,0,0,0,1,0,0,상운면사무소,054-679-5922,,24,2008-12,36.8715,128.7671,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
16,간이화장실,,안마을 정자 앞,,경상북도 봉화군 상운면 운계리 650-1,1,0,0,0,0,0,1,0,0,상운면사무소,054-679-5922,,24,2005-12,36.835,128.7576,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
17,간이화장실,,밀레니엄 간이화장실2,,경상북도 봉화군 상운면 가곡리 392,1,0,0,0,0,0,0,0,0,상운면사무소,054-679-5922,,24,2005-12,36.8369,128.7559,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
18,간이화장실,,밀레니엄 간이화장실1,,경상북도 봉화군 상운면 가곡리 389-3,1,0,0,0,0,0,1,0,0,상운면사무소,054-679-5922,,24,2005-12,36.8362,128.7553,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
19,간이화장실,,문촌리 신라약수탕,,경상북도 봉화군 상운면 문촌리 155-1,1,0,0,0,0,0,0,0,0,상운면사무소,054-679-5922,,24,2004-12,36.8227,128.8141,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
20,간이화장실,,문촌리 고추작목반,,경상북도 봉화군 상운면 문촌리 619-2,1,0,0,0,0,0,0,0,0,상운면사무소,054-679-5922,,24,2006-12,36.8496,128.7861,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
21,간이화장실,,구천리 야옹정 옆,,경상북도 봉화군 상운면 구천리 320,1,0,0,0,0,0,1,0,0,상운면사무소,054-679-5922,,24,2008-12,36.1326,128.4308,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
22,개방화장실,,상운초등학교,경상북도 봉화군 상운면 예봉로 1231,경상북도 봉화군 상운면 가곡리 419-3,4,12,4,0,0,0,6,0,0,교육감,054-679-5922,,24,1963-12,36.8303,128.7539,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
23,개방화장실,,상운치안센터,경상북도 봉화군 상운면 예봉로 1291,경상북도 봉화군 상운면 가곡리 101-2,0,1,0,0,0,0,1,0,0,봉화경찰서,054-679-5922,,24,1991-12,36.8345,128.7557,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
24,개방화장실,,상운면 보건지소,경상북도 봉화군 상운면 예봉로 1302,경상북도 봉화군 상운면 가곡리 395-1,1,1,1,0,0,0,0,0,0,상운면사무소,054-679-5922,,24,1997-12,36.8355,128.7565,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
25,간이화장실,,사미정 계곡 권현덕집아래,,경북 봉화군 법전면 소천리 609,1,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,1993-12,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
26,간이화장실,,법전면생활체육공원,경북 봉화군 법전면 법전로 130-1,,0,3,0,0,0,0,5,0,0,법전면사무소,054-679-5313,,8,2018-12,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
27,간이화장실,,법전1리 법전역사 밖,,경북 봉화군 법전면 법전리 67-7,3,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,2019-12,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
28,간이화장실,,눌산2리 부트네 솔숲,,경북 봉화군 법전면 눌산리 산56-4,0,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,1993-12,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
29,간이화장실,,눌산1리 해맞이공원,,경북 봉화군 법전면 눌산리 968,0,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,2019-12,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
30,간이화장실,,눌산1리 아름 솔숲,,경북 봉화군 법전면 눌산리 79,1,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,1993-12,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
31,간이화장실,,눌산1리 멀골 솔숲 (아람),,경북 봉화군 법전면 눌산리 843,1,1,0,0,0,0,1,0,0,법전면사무소,054-679-5321,,24,2009-12,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
32,개방화장실,,법전면사무소,경북 봉화군 법전면 법전로 100,,2,2,0,0,0,0,3,0,0,법전면사무소,054-679-5313,,8,1981-12,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
33,공중화장실,,법전면공중화장실(복지관뒤),경북 봉화군 법전면 법전로 95,,1,2,1,0,0,0,4,1,0,법전면사무소,054-679-5321,,24,2016-12,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
34,간이화장실,,와란체육공원,,경상북도 봉화군 봉성면 동양리595,1,1,0,0,0,0,1,0,2,봉성면사무소,054-679-5221,,24시간,2011-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
35,간이화장실,,작곡재 좌측,,경상북도 봉화군 봉성면 외삼리 103-21,1,0,0,0,0,0,2,0,0,봉성면사무소,054-679-5221,,24시간,2003-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
36,간이화장실,,작곡재 우측,,경상북도 봉화군 봉성면 봉성리573-3,1,0,0,0,0,0,2,0,0,봉성면사무소,054-679-5221,,24시간,2003-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
37,간이화장실,,경찰관 순직비,,경상북도 봉화군 봉성면 봉양리 37-1,1,1,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2001-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
38,간이화장실,,문수골 계곡농원 앞,,경상북도 봉화군 봉성면 우곡리 161,1,0,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2016-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
39,간이화장실,,중대골 중간,,경상북도 봉화군 봉성면 우곡리 44,1,1,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2016-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
40,간이화장실,,중대골 영생농원 앞,경상북 봉화군 봉성면 시거리길267-235,경상북도 봉화군 봉성면 우곡리 755,1,1,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2007-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
41,간이화장실,,우곡성지 내,,경상북도 봉화군 봉성면 우곡리 151-10,1,0,0,0,0,0,2,0,0,봉성면사무소,054-679-5221,,24시간,2007-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
42,간이화장실,,우곡성지 위(삼거리),,경상북도 봉화군 봉성면 우곡리 80-7,1,1,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2006-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
43,간이화장실,,금봉저수지,,경상북도 봉화군 봉성면 금봉리 245-1,1,1,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2018-07,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
44,간이화장실,,산수유사이길사이로식당앞,,경상북도 봉화군 봉성면 동양리 146-1,1,0,1,0,0,0,2,0,0,봉성면사무소,054-679-5221,,24시간,2011-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
45,간이화장실,,산수유축제장,,경상북도 봉화군 봉성면 동양리 67-1,1,1,0,0,0,0,1,0,0,봉성면사무소,054-679-5221,,24시간,2011-01,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
46,공중화장실,,문화복지센터,경상북도 봉화군 봉성면 미륵골길 17,경상북도 봉화군 봉성면 봉성리 385,1,1,1,1,1,0,3,1,0,봉성면사무소,054-679-5221,,24시간,2015-12,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
47,공중화장실,,다덕화장실,경상북도 봉화군 봉성면 진의실길 4,경상북도 봉화군 봉성면 우곡리 584-7,4,4,1,1,1,0,8,0,0,봉성면사무소,054-679-5221,,24시간,2001-01,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,2020-03,2020-04-30
48,개방화장실,,물야면사무소,경상북도 봉화군 물야면 문수로 991,경상북도 봉화군 물야면 오록리 429-4,4,2,1,1,1,0,2,0,0,물야면사무소,054-679-5121,,8,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
49,개방화장실,,물야농협주유소,경상북도 봉화군 물야면 오록길 2,경상북도 봉화군 물야면 오록리 431-2,1,2,0,0,0,0,2,0,0,물야농협,054-679-5321,,8,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
50,간이화장실,,오전2리 만석산공원,,경상북도 봉화군 물야면 오록리 1319-2,1,0,0,0,0,0,1,0,0,물야면사무소,054-679-5121,,8,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
51,개방화장실,,물야우체국,경상북도 봉화군 물야면 문수로 986,경상북도 봉화군 물야면 오록리 430-9,1,1,0,0,0,0,1,0,0,물야우체국,054-672-2001,,8,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
52,공중화장실,,오전약수관광지,경상북도 봉화군 물야면 문수로 1544,경상북도 봉화군 물야면 오전리 99-4,4,5,1,0,0,0,8,0,0,문화관광체육과,054-679-6354,,24,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
53,공중화장실,,오토캠핑장,,경상북도 봉화군 물야면 오전리 51-4,2,3,0,0,0,0,3,0,0,물야면사무소,054-679-5121,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
54,공중화장실,,족구장 앞,,경상북도 봉화군 봉화읍 내성리 506,3,2,0,0,0,0,4,0,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-04-30
55,공중화장실,,주무대 앞,,경상북도 봉화군 봉화읍 내성리 506,2,2,0,0,0,0,4,0,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-04-30
56,공중화장실,,인라인스케이트장,,경상북도 봉화군 봉화읍 내성리 506,1,3,0,0,0,0,4,0,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-04-30
57,공중화장실,,수변공원,,경상북도 봉화군 봉화읍 삼계리 309-4,3,3,0,0,0,0,6,0,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,없음,,2020-04-30
58,공중화장실,,축제광장,,경상북도 봉화군 봉화읍 내성리 403-4,4,2,0,0,0,0,6,0,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,없음,,2020-04-30
59,공중화장실,,주무대 뒤,,경상북도 봉화군 봉화읍 내성리 506,3,3,0,0,0,0,5,0,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,Y,여자화장실,,2020-04-30
60,공중화장실,,은어송이테마공원,경상북도 봉화군 봉화읍 범들로 447,,4,4,1,0,0,0,7,1,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,없음,,2020-04-30
61,공중화장실,,삼계쉼터,,경상북도 봉화군 봉화읍 삼계리 32-5,2,2,1,0,0,0,4,1,0,봉화군시설관리사업소,054-679-6983,,24,,,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,N,없음,,2020-04-30
62,개방화장실,,문수산자연휴양림,,경상북도 봉성면 우곡리 산48-1,2,2,0,0,0,0,4,0,0,봉화군시설관리사업소,054-679-6973,,9,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
63,개방화장실,,문수산자연휴양림,,경상북도 봉성면 우곡리 산48-1,1,1,0,0,0,0,2,0,0,봉화군시설관리사업소,054-679-6973,,9,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
64,간이화장실,,목재문화체험장,경상북도 봉화군 봉성면 구절로 151,,1,2,1,1,1,0,4,1,0,봉화군시설관리사업소,054-679-6973,,9,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
65,개방화장실,,목재문화체험장,경상북도 봉화군 봉성면 구절로 151,,6,6,2,2,2,0,10,2,0,봉화군시설관리사업소,054-679-6973,,9,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
66,개방화장실,,상운면 보건지소,경상북도 봉화군 상운면 예봉로 1302,,1,1,1,0,0,0,1,0,0,봉화군 보건소,054-679-6717,,8,1997-11,36.835781,128.756538,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
67,개방화장실,,문촌보건진료소,경상북도 봉화군 상운면 기촌길 10,,0,0,0,0,0,0,0,1,0,봉화군 보건소,054-679-6717,,8,2009-09,36.845048,128.796852,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
68,개방화장실,,삼동보건진료소,경상북도 봉화군 명호면 황새마을길 11-9,,0,1,0,0,0,0,0,1,0,봉화군 보건소,054-679-6717,,8,2003-09,36.878387,128.932727,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
69,개방화장실,,명호면 보건지소,경상북도 봉화군 명호면 청량로 1157,,1,1,1,0,0,0,1,0,0,봉화군 보건소,054-679-6717,,8,2002-05,36.847061,128.906067,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
70,개방화장실,,동면보건진료소,경상북도 봉화군 재산면 두들마길 42-8,,0,2,0,0,0,0,3,0,0,봉화군 보건소,054-679-6717,,8,2006-12,36.799535,129.007734,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
71,개방화장실,,재산면 보건지소,경상북도 봉화군 재산면 재산로 487-9,,1,1,1,0,0,0,1,0,0,봉화군 보건소,054-679-6717,,8,2008-08,36.815282,128.960998,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
72,개방화장실,,석포면 보건지소,경상북도 봉화군 석포면 석포로1길 53-11,,1,1,1,0,0,0,1,0,0,봉화군 보건소,054-679-6717,,8,2000-08,37.048482,129.064526,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
73,개방화장실,,임기보건진료소,경상북도 봉화군 소천면 숲터길 30,,1,2,1,0,0,0,2,1,0,봉화군 보건소,054-679-6717,,8,2009-03,36.902004,128.99697,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
74,개방화장실,,소천면 보건지소,경상북도 봉화군 소천면 소천로 1278,,1,2,1,0,0,0,1,0,0,봉화군 보건소,054-679-6717,,8,2005-01,36.942606,129.059512,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
75,개방화장실,,한전 봉화지사,경상북도 봉화군 봉화읍 내성로 42,경상북도 봉화군 봉화읍 내성리 201-10,6,6,0,0,0,0,1,0,0,한전,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
76,개방화장실,,봉화초등학교,경상북도 봉화군 봉화읍 내성로7길3,경상북도 봉화군 봉화읍 내성리 252-2,10,15,2,2,2,0,26,2,0,봉화초 행정실,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
77,개방화장실,,봉화중고등학교,경상북도 봉화군 봉화읍 내성로 138,경상북도 봉화군 봉화읍 삼계리 40,30,32,2,0,0,0,65,2,0,봉화중고 챙정실,,,9시간,,,,공공기관-국가공공기관,수세식,,Y,여자화장실,N,N,없음,,2020-04-30
78,개방화장실,,도촌초등학교,경상북도 봉화군 봉화읍 봉화로 639,경상북도 봉화군 봉화읍 적덕리 891-1,2,10,4,2,2,1,8,4,1,도촌초 행정실,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
79,개방화장실,,내성초등학교,경상북도 봉화군 봉화읍 봉화읍 교촌1길 37,경상북도 봉화군 봉화읍 내성리 452-1,14,22,2,3,3,2,26,2,1,내성초 행정실,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
80,개방화장실,,봉화파출소,경상북도 봉화군 봉화읍 봉화로 1077,경상북도 봉화군 봉화읍 해저리 85-5,1,1,0,0,0,0,1,0,0,봉화경찰서,,,24시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
81,개방화장실,,봉화우체국,경상북도 봉화군 봉화읍 봉화로 1158,경상북도 봉화군 봉화읍 내성리 234-8,8,4,3,2,2,0,4,3,0,봉화우체국 시설관리단,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,Y,N,없음,,2020-04-30
82,개방화장실,,봉화역,경상북도 봉화군 봉화읍 봉화로 1072-1,경상북도 봉화군 봉화읍 해저리 90-1,2,3,1,0,0,0,3,1,0,코레일 시설처,,,24시간,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,Y,여자화장실,N,N,없음,,2020-04-30
83,개방화장실,,봉화 119안전센터,경상북도 봉화군 봉화읍 문수로42,경상북도 봉화군 봉화읍 삼계리 164-2,2,2,0,0,0,0,2,0,0,봉화센터,,,24시간,,,,공공기관-국가공공기관,수세식,,N,없음,Y,N,없음,,2020-04-30
84,개방화장실,,봉화도서관,경상북도 봉화군 봉화읍 내성로 3길 6,경상북도 봉화군 봉화읍 내성리 194-4,5,10,1,0,0,0,5,1,0,봉화도서관,,,10시간,,,,공공기관-국가공공기관,수세식,,Y,여자화장실,Y,N,없음,,2020-04-30
85,개방화장실,,건강보험공단,경상북도 봉화군 봉화읍 내성천1길 76번지,경상북도 봉화군 봉화읍 내성리 232-8,1,2,0,0,0,0,1,0,0,건강보험공단,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
86,개방화장실,,봉화경찰서,경상북도 봉화군 봉화읍 내성로 73,경상북도 봉화군 봉화읍 내성리 194-1,4,6,1,1,1,0,4,1,0,봉화경찰서 경리계,,,24시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
87,개방화장실,,이랜드복지재단,경상북도 봉화군 봉화읍 내성천2길75-2,경상북도 봉화군 봉화읍 내성리 421-1,4,6,6,0,0,0,7,6,0,이랜드복지재단시설안전관리,,,9시간,,,,공공기관-국가공공기관,수세식,,Y,여자화장실,N,N,없음,,2020-04-30
88,개방화장실,,등기소,경상북도 봉화군 봉화읍 봉화로 1085,경상북도 봉화군 봉화읍 해저리 105-7,1,2,0,2,1,0,1,0,0,대법원 등기소,,,9시간,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
89,개방화장실,,봉화읍사무소,경상북도 봉화군 봉화읍 내성로3길9,경상북도 봉화군 봉화읍 내성리 197-1,3,4,1,0,0,0,3,1,0,봉화읍사무소,,,9시간,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
90,공중화장실,,충혼탑,경상북도 봉화군 봉화읍 내성로6길 13-3,경상북도 봉화군 봉화읍 내성리 287,2,2,0,0,0,0,2,0,0,봉화읍사무소,,,24시간,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
91,공중화장실,,은어화장실,경상북도 봉화군 봉화읍 내성로5길 11,경상북도 봉화군 봉화읍 내성리 192-6,4,4,1,0,0,0,7,1,1,봉화읍사무소,,,24시간,,,,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
92,개방화장실,,문촌보건진료소,경상북도 봉화군 상운면 기촌길 10-3,경상북도 봉화군 상운면 문촌리 756-2,0,0,0,0,0,0,1,0,0,상운면사무소,054-679-5922,,24,1984-12,36.8448,128.7968,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
93,공중화장실,,구)한의원 앞,경상북도 봉화군 상운면 가곡길 4-4,경상북도 봉화군 상운면 가곡리 406-1,1,2,0,0,0,0,2,0,0,상운면사무소,054-679-5922,,24,1998-12,36.8336,128.756,공공기관-지방자치단체,수세식,,N,없음,N,N,없음,,2020-04-30
94,공중화장실,,서벽중학교,경상북도 봉화군 춘양면 춘양로 1490,경상북도 봉화군 춘양면 서벽리 473-1,1,2,0,0,0,0,3,0,0,서벽중학교,,,10,,,,공공기관-국가공공기관,수세식,,N,없음,N,N,없음,,2020-04-30
95,간이화장실,,본마 공동취사시설 앞,,경상북도 봉화군 춘양면 서벽리 680,1,1,0,0,0,0,2,0,0,춘양면사무소,054-679-5423,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
96,간이화장실,,저온저장고 앞,,경상북도 봉화군 춘양면 서벽리 1318-3,1,1,0,0,0,0,1,0,0,춘양면사무소,054-679-5423,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
97,간이화장실,,주실령입구(승지산장 앞),,경상북도 봉화군 춘양면 서벽리 산 98-3,1,0,0,0,0,0,1,0,0,춘양면사무소,054-679-5423,,24,,,,공공기관-지방자치단체,수거식,,N,없음,N,N,없음,,2020-04-30
98,공중화장실,,국립백두대간수목원  호랑이야외화장실,,경상북도 봉화군 춘양면 서벽리 1228,1,2,1,1,1,0,3,1,0,국립백두대간수목원,054-679-6653,,10,,,,공공기관-국가공공기관,수세식,,N,없음,Y,Y,여자화장실,,2020-04-30
99,공중화장실,,국립백두대간수목원 휴게동,,경상북도 봉화군 춘양면 서벽리 1389,4,4,1,1,1,0,8,1,0,국립백두대간수목원,054-679-6653,,10,,,,공공기관-국가공공기관,수세식,,N,없음,Y,Y,여자화장실,,2020-04-30
100,공중화장실,,국립백두대간수목원 게스트하우스,,경상북도 봉화군 춘양면 서벽리 485-1,1,1,0,0,0,0,2,0,0,국립백두대간수목원,054-679-6653,,10,,,,공공기관-국가공공기관,수세식,,N,없음,Y,N,없음,,2020-04-30
101,공중화장실,,국립백두대간수목원 고산습원 존치가옥,,경상북도 봉화군 춘양면 서벽리 1215-4,1,1,0,0,0,0,1,0,0,국립백두대간수목원,054-679-6653,,10,,,,공공기관-국가공공기관,수세식,,N,없음,Y,Y,여자화장실,,2020-04-30
102,공중화장실,,국립백두대간수목원 방문자센터,,경상북도 봉화군 춘양면 서벽리 485,9,7,2,2,2,0,14,2,0,국립백두대간수목원,054-679-6653,,10,,,,공공기관-국가공공기관,수세식,,N,없음,Y,Y,여자화장실,,2020-04-30
103,공중화장실,,국립백두대간수목원 야외화장실A,,경상북도 봉화군 춘양면 서벽리 530,4,3,1,1,1,0,8,1,0,국립백두대간수목원,054-679-6653,,10,,,,공공기관-국가공공기관,수세식,,Y,여자화장실,Y,Y,여자화장실,,2020-04-30
