카테고리,업체명,주소,위도,경도,전화번호,기타
가성비,옹'S 베이커리 카페,경상북도 영천시 중앙동3길 88 (문내동),35.97390855,128.929963,0507-1440-7511,카페
가성비,옹그릭,경상북도 영천시 금호읍 금호로 149-2,35.93269778,128.877892,0507-1387-7238,카페
가성비,외따로,"경상북도 영천시 교촌길 4-1, 1층 (창구동)",35.96974319,128.9301469,0507-1432-1420,카페
가성비,요거트월드,"경상북도 영천시 충효로 93, 무궁화타운 9호 (문외동)",35.9742781,128.9392035,010-3164-3168,카페
가성비,우즈베이커리 영천점,"경상북도 영천시 호국로 155, 1,2층 (조교동)",35.97665668,128.9541344,054-335-1469,카페
가성비,윈느타임(unetime),"경상북도 영천시 임고면 운주로 14, 2층",36.01656135,128.9758827,0507-1304-5826,카페
가성비,이다숲,"경상북도 영천시 구읍1길 41, 1층 (완산동)",35.96110498,128.935278,0507-1369-9142,카페
가성비,이디야커피 영천장천점,"경상북도 영천시 장천길 9, 1,2층 (조교동)",35.97028924,128.9512858,054-331-3443,카페
가성비,이디야커피 완산점,"경상북도 영천시 시장로 128, 1층(104,105호), 2층(202호)호 (완산동)",35.96354751,128.9444643,054-332-8882,카페
가성비,쟈빠따 베이커리 영천완산점,"경상북도 영천시 시장로 96, 고은스퀘어 1층(1022~1026호), 2층(2006~2008호)호 (완산동)",35.96300897,128.9407439,054-331-0033,카페
가성비,정,"경상북도 영천시 신녕면 갑티로 132, 1층",36.08972786,128.727543,0507-1463-0548,카페
가성비,주식회사 소울향,"경상북도 영천시 청산3길 15, 1층 (문외동)",35.97469563,128.9376784,,카페
가성비,주커피영천금호,경상북도 영천시 금호읍 금호로 32,35.92949881,128.8654118,0507-1317-8599,카페
가성비,준엔커피(jun&coffee),"경상북도 영천시 최무선로 125, 그린주유소 (오수동)",35.96080862,128.9152975,,카페
가성비,착한까페,경상북도 영천시 천문로 398 (문내동),35.97301851,128.9296753,054-338-7741,카페
가성비,청춘문화공간 썰툰(본점),"경상북도 영천시 시청로 5, 1층 (문외동)",35.97133899,128.9381708,054-336-3833,카페
가성비,카고커피(Car Go Coffee),경상북도 영천시 영천산단로 359 (채신동),35.91435297,128.9481661,070-8676-1755,카페
가성비,카페 나무,"경상북도 영천시 고경면 백소길 66-2, 1층",35.99532512,129.0445388,054-336-2367,카페
가성비,카페 봄봄 영천 2호점,"경상북도 영천시 언하공단로 83, 102호 (망정동)",35.98590958,128.9545453,054-333-6577,카페
가성비,카페 빈티지 얀테,"경상북도 영천시 호국로 56, 1층 (야사동)",35.97320356,128.9440472,,카페
가성비,카페 어울림,"경상북도 영천시 청산길 83, 영천중문교회 일부 (문외동)",35.97548434,128.9382421,054-337-7775,카페
가성비,카페 휘가람,"경상북도 영천시 화남면 천문로 1502-10, 1,2층",36.05207094,128.8940237,010-3820-5430,카페
가성비,카페다인에,"경상북도 영천시 문화새길 68, 1층 (야사동)",35.9714813,128.9475747,,카페
가성비,카페라샹떼(Cafe la sante),경상북도 영천시 청통면 은해사로 208-25,35.98998221,128.7969144,0507-1370-3957,카페
가성비,카페봄봄 서문점,경상북도 영천시 최무선로 204 (성내동),35.96261331,128.9232451,054-331-3330,카페
가성비,카페봄봄 영천금호점,"경상북도 영천시 금호읍 금호로 73, 1층",35.93080126,128.869759,054-333-6577,카페
가성비,카페비다,"경상북도 영천시 백신애길 2, 2층 (과전동)",35.96693059,128.9290606,,카페
가성비,카페우내,경상북도 영천시 임고면 매호운천길 13-40,35.99759341,128.9642691,054-333-8880,카페
가성비,카페채채,"경상북도 영천시 중앙동1길 80, 영천시 시립도서관 1층 (문외동)",35.9754532,128.9329971,0507-1451-1293,카페
가성비,커피나라 빙수왕,"경상북도 영천시 중앙동1길 28, 1층 (문외동)",35.97313653,128.9342005,054-337-2646,카페
가성비,커피마시기 좋은 날,경상북도 영천시 호국로 55-3 (야사동),35.97349351,128.9438511,054-336-8686,카페
가성비,커피베이 영천금호점,경상북도 영천시 금호읍 금호로 137-1,35.93238291,128.8765808,054-336-0252,카페
가성비,커피앤 커피,"경상북도 영천시 금호읍 금호로 165, 1층",35.93333634,128.8793065,,카페
가성비,커피왕,경상북도 영천시 언하공단로 84 (망정동),35.98634242,128.9545173,054-332-2646,카페
가성비,커피특별시 완산점,"경상북도 영천시 완산로 20, 101(상가)동 104호 (완산동, 윤창BH홈타운)",35.96196378,128.9395564,,카페
가성비,컴포즈커피,"경상북도 영천시 시장로 96, 고은스퀘어 1018호 (완산동)",35.96300897,128.9407439,0507-0288-8514,카페
가성비,컴포즈커피 영천망정점,"경상북도 영천시 창신1길 42, 8호 (망정동, 인터불고코아루아파트)",35.99078106,128.9551032,0507-2093-5130,카페
가성비,크로플덕 오리아가씨,"경상북도 영천시 충효로 111, 1층 전면좌측호 (야사동)",35.97518437,128.9408664,070-8648-2929,카페
가성비,투썸플레이스 시청점,경상북도 영천시 충효로 60 (문외동),35.9723188,128.9361977,054-333-3223,카페
가성비,투썸플레이스 영천 동부점,경상북도 영천시 호국로 126 (망정동),35.97554454,128.9511826,054-333-0023,카페
가성비,티플커피 앤타로,경상북도 영천시 시장로 45-1 (완산동),35.96356526,128.9353071,054-338-7870,카페
가성비,파스쿠찌 영천시청점,경상북도 영천시 충효로 50 (문외동),35.9720461,128.9353408,054-331-3864,카페
가성비,퍼즐커피,"경상북도 영천시 강남길 28, 1층 (완산동)",35.96470044,128.9365179,0507-1356-1322,카페
가성비,페이즈나인(phase9),"경상북도 영천시 화남면 천문로 1765-10, 1~2층",36.07232829,128.9028682,054-333-2299,카페
가성비,푸르름디저트,"경상북도 영천시 충효로 114, 1층층 전면좌측호 (야사동)",35.97490229,128.9412068,0507-1344-4083,카페
가성비,하삼동 커피,"경상북도 영천시 망정1길 174, 정암빌딩 111호 (망정동)",35.98140772,128.9517077,054-333-1225,카페
가성비,하이빙수 영천점,"경상북도 영천시 조양길 49-2, 1층 102호 (문내동)",35.97021114,128.9325583,0507-1445-1440,카페
가성비,할미돌,경상북도 영천시 북안면 돌할매로 467,35.9392403,129.0443534,,카페
가성비,핸즈커피 영천시청점,경상북도 영천시 시청남길 6 (문외동),35.97192988,128.9386767,054-335-3476,카페
가성비,호국로 111,"경상북도 영천시 호국로 111, 1층 (망정동)",35.97565677,128.9495318,054-337-2111,카페
가성비,홍루이젠 경북영천점,"경상북도 영천시 영화로 349, 1층 (망정동)",35.97339555,128.9516779,054-336-0956,카페
가성비,황금다방,"경상북도 영천시 완산중앙9길 18, 1층 (완산동)",35.96269499,128.9382569,054-334-4115,카페
